,LoadConsumption,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Werkloosheidspercentage|Seizoengecorrigeerd,Bruto arbeidsparticipatie|Seizoengecorrigeerd,Netto arbeidsparticipatie|Seizoengecorrigeerd,date,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product,"Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bbp, gecorrigeerd voor werkdageneffecten",Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Diensten,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Totaal,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Bedrijven en huishoudens,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Overheid,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Verandering in voorraden,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Totaal,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Goederen,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Diensten,"Crude oil, average | ($/bbl)","Crude oil, Brent | ($/bbl)","Crude oil, Dubai | ($/bbl)","Crude oil, WTI | ($/bbl)","Coal, Australian | ($/mt)","Coal, South African ** | ($/mt)","Natural gas, US | ($/mmbtu)","Natural gas, Europe | ($/mmbtu)","Liquefied natural gas, Japan | ($/mmbtu)",Natural gas index | (2010=100),euro per m3,euro per m3.1,euro per m3.2,euro per kWh,euro per kWh.1,euro per kWh.2,nat,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,HDMaxTemperature,DailyMeanWindspeed,MaxHourlyMeanWindspeed,HDMaxMeanWindspeed,MinHourlyMeanWindspeed,HDMinMeanWindspeed,Month,Year,Week,WeekKey,day_of_week
2009-01-01 01:00:00,11309.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,120.1,0.5,0.9,8700.0,-48.2,-28.6,255906.0,2226.0,90.44,92.71,1.2,0.9,-5.7,-3.8,-3.8,-8.8,-11.8,2.0,-5.7,-1.0,0.4,-1.5,4.2,-4.2,-5.3,0.7,-0.9,-11.7,-14.1,-2.6,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 01:00:00,11309.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,120.1,0.5,0.9,8700.0,-48.2,-28.6,255906.0,2226.0,90.44,92.71,1.2,0.9,-5.1,-3.6,,-7.8,-10.1,-0.8,-5.1,-3.0,-0.2,-1.6,2.6,-9.3,-11.8,1.9,-0.6,-8.1,-8.3,-7.3,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 01:00:00,11309.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,115.6,-3.4,-3.4,127532.0,-30.1,-30.1,238259.0,30386.0,89.32,91.54,1.9,1.4,-5.7,-3.8,-3.8,-8.8,-11.8,2.0,-5.7,-1.0,0.4,-1.5,4.2,-4.2,-5.3,0.7,-0.9,-11.7,-14.1,-2.6,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 01:00:00,11309.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,115.6,-3.4,-3.4,127532.0,-30.1,-30.1,238259.0,30386.0,89.32,91.54,1.9,1.4,-5.1,-3.6,,-7.8,-10.1,-0.8,-5.1,-3.0,-0.2,-1.6,2.6,-9.3,-11.8,1.9,-0.6,-8.1,-8.3,-7.3,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 01:00:00,11309.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,115.6,-3.4,-3.4,127532.0,-30.1,-30.1,238259.0,30386.0,90.44,92.71,1.2,0.9,-5.7,-3.8,-3.8,-8.8,-11.8,2.0,-5.7,-1.0,0.4,-1.5,4.2,-4.2,-5.3,0.7,-0.9,-11.7,-14.1,-2.6,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 01:00:00,11309.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,115.6,-3.4,-3.4,127532.0,-30.1,-30.1,238259.0,30386.0,90.44,92.71,1.2,0.9,-5.1,-3.6,,-7.8,-10.1,-0.8,-5.1,-3.0,-0.2,-1.6,2.6,-9.3,-11.8,1.9,-0.6,-8.1,-8.3,-7.3,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 02:00:00,10675.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,120.1,0.5,0.9,8700.0,-48.2,-28.6,255906.0,2226.0,89.32,91.54,1.9,1.4,-5.7,-3.8,-3.8,-8.8,-11.8,2.0,-5.7,-1.0,0.4,-1.5,4.2,-4.2,-5.3,0.7,-0.9,-11.7,-14.1,-2.6,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 02:00:00,10675.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,120.1,0.5,0.9,8700.0,-48.2,-28.6,255906.0,2226.0,89.32,91.54,1.9,1.4,-5.1,-3.6,,-7.8,-10.1,-0.8,-5.1,-3.0,-0.2,-1.6,2.6,-9.3,-11.8,1.9,-0.6,-8.1,-8.3,-7.3,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 02:00:00,10675.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,120.1,0.5,0.9,8700.0,-48.2,-28.6,255906.0,2226.0,90.44,92.71,1.2,0.9,-5.7,-3.8,-3.8,-8.8,-11.8,2.0,-5.7,-1.0,0.4,-1.5,4.2,-4.2,-5.3,0.7,-0.9,-11.7,-14.1,-2.6,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 02:00:00,10675.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,120.1,0.5,0.9,8700.0,-48.2,-28.6,255906.0,2226.0,90.44,92.71,1.2,0.9,-5.1,-3.6,,-7.8,-10.1,-0.8,-5.1,-3.0,-0.2,-1.6,2.6,-9.3,-11.8,1.9,-0.6,-8.1,-8.3,-7.3,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 02:00:00,10675.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,115.6,-3.4,-3.4,127532.0,-30.1,-30.1,238259.0,30386.0,89.32,91.54,1.9,1.4,-5.7,-3.8,-3.8,-8.8,-11.8,2.0,-5.7,-1.0,0.4,-1.5,4.2,-4.2,-5.3,0.7,-0.9,-11.7,-14.1,-2.6,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 02:00:00,10675.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,115.6,-3.4,-3.4,127532.0,-30.1,-30.1,238259.0,30386.0,89.32,91.54,1.9,1.4,-5.1,-3.6,,-7.8,-10.1,-0.8,-5.1,-3.0,-0.2,-1.6,2.6,-9.3,-11.8,1.9,-0.6,-8.1,-8.3,-7.3,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 02:00:00,10675.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,115.6,-3.4,-3.4,127532.0,-30.1,-30.1,238259.0,30386.0,90.44,92.71,1.2,0.9,-5.7,-3.8,-3.8,-8.8,-11.8,2.0,-5.7,-1.0,0.4,-1.5,4.2,-4.2,-5.3,0.7,-0.9,-11.7,-14.1,-2.6,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 02:00:00,10675.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,115.6,-3.4,-3.4,127532.0,-30.1,-30.1,238259.0,30386.0,90.44,92.71,1.2,0.9,-5.1,-3.6,,-7.8,-10.1,-0.8,-5.1,-3.0,-0.2,-1.6,2.6,-9.3,-11.8,1.9,-0.6,-8.1,-8.3,-7.3,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 03:00:00,10202.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,120.1,0.5,0.9,8700.0,-48.2,-28.6,255906.0,2226.0,89.32,91.54,1.9,1.4,-5.7,-3.8,-3.8,-8.8,-11.8,2.0,-5.7,-1.0,0.4,-1.5,4.2,-4.2,-5.3,0.7,-0.9,-11.7,-14.1,-2.6,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 03:00:00,10202.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,120.1,0.5,0.9,8700.0,-48.2,-28.6,255906.0,2226.0,89.32,91.54,1.9,1.4,-5.1,-3.6,,-7.8,-10.1,-0.8,-5.1,-3.0,-0.2,-1.6,2.6,-9.3,-11.8,1.9,-0.6,-8.1,-8.3,-7.3,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 03:00:00,10202.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,120.1,0.5,0.9,8700.0,-48.2,-28.6,255906.0,2226.0,90.44,92.71,1.2,0.9,-5.7,-3.8,-3.8,-8.8,-11.8,2.0,-5.7,-1.0,0.4,-1.5,4.2,-4.2,-5.3,0.7,-0.9,-11.7,-14.1,-2.6,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 03:00:00,10202.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,120.1,0.5,0.9,8700.0,-48.2,-28.6,255906.0,2226.0,90.44,92.71,1.2,0.9,-5.1,-3.6,,-7.8,-10.1,-0.8,-5.1,-3.0,-0.2,-1.6,2.6,-9.3,-11.8,1.9,-0.6,-8.1,-8.3,-7.3,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 03:00:00,10202.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,115.6,-3.4,-3.4,127532.0,-30.1,-30.1,238259.0,30386.0,89.32,91.54,1.9,1.4,-5.7,-3.8,-3.8,-8.8,-11.8,2.0,-5.7,-1.0,0.4,-1.5,4.2,-4.2,-5.3,0.7,-0.9,-11.7,-14.1,-2.6,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 03:00:00,10202.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,115.6,-3.4,-3.4,127532.0,-30.1,-30.1,238259.0,30386.0,89.32,91.54,1.9,1.4,-5.1,-3.6,,-7.8,-10.1,-0.8,-5.1,-3.0,-0.2,-1.6,2.6,-9.3,-11.8,1.9,-0.6,-8.1,-8.3,-7.3,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
2009-01-01 03:00:00,10202.0,9029,8594,434,"4,8","73,1","69,6",2009-01-01,115.6,-3.4,-3.4,127532.0,-30.1,-30.1,238259.0,30386.0,90.44,92.71,1.2,0.9,-5.7,-3.8,-3.8,-8.8,-11.8,2.0,-5.7,-1.0,0.4,-1.5,4.2,-4.2,-5.3,0.7,-0.9,-11.7,-14.1,-2.6,43.85521428571,44.86,44.96714285714,41.7385,79.4,76.4,5.2414,13.89,12.71,138.29190146841,0.665,0.556,0.231,0.167,0.111,0.068,0.05057401982678014,0.0,0.0,1,-0.6,-28,1,0.5,24,1.6,2.0,9,1.0,1,1,2009,1,200901,Thursday
