original_name,wrapped_label
LoadConsumption,LoadConsumption
DailyPrecipitation,DailyPrecipitation
MaxHourlyPrecipitation,"MaxHourlyPrecipitati
on"
HDMaxPrecipitation,HDMaxPrecipitation
DailyMeanTemperature,DailyMeanTemperature
HourlyMinTemperature,HourlyMinTemperature
HDMinTemperature,HDMinTemperature
HourlyMaxTemperature,HourlyMaxTemperature
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Bedrijven en huishoudens,"Opbouw bbp vanuit de
finale
bestedingen|Finale b
estedingen|Nationale
finale
bestedingen|Bruto
investeringen in
vaste
activa|Bedrijven en
huishoudens"
euro per m3,euro per m3
euro per kWh.1,euro per kWh.1
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Totaal,"Opbouw bbp vanuit de
finale
bestedingen|Finale b
estedingen|Nationale
finale
bestedingen|Bruto
investeringen in
vaste activa|Totaal"
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Diensten,"Opbouw bbp vanuit de
finale bestedingen|B
eschikbaar voor
finale
bestedingen|Invoer
van goederen en
diensten|Diensten"
Month,Month
Week,Week
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Totaal,"Opbouw bbp vanuit de
finale bestedingen|B
eschikbaar voor
finale
bestedingen|Invoer
van goederen en
diensten|Totaal"
"Liquefied natural gas, Japan | ($/mmbtu)","Liquefied natural
gas, Japan |
($/mmbtu)"
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Totaal,"Opbouw bbp vanuit de
finale
bestedingen|Finale b
estedingen|Nationale
finale
bestedingen|Totaal"
Beroepsbevolking|Seizoengecorrigeerd,"Beroepsbevolking|Sei
zoengecorrigeerd"
Werkzame beroepsbevolking|Seizoengecorrigeerd,"Werkzame beroepsbevo
lking|Seizoengecorri
geerd"
Werkloze beroepsbevolking|Seizoengecorrigeerd,"Werkloze beroepsbevo
lking|Seizoengecorri
geerd"
Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,"Prijsindex verkooppr
ijzen|Prijsindex
bestaande
koopwoningen"
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,"Prijsindex verkooppr
ijzen|Ontwikkeling
t.o.v. voorgaande
periode"
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,"Prijsindex verkooppr
ijzen|Ontwikkeling
t.o.v. een jaar
eerder"
Aantal verkochte woningen|Aantal verkochte woningen,"Aantal verkochte
woningen|Aantal
verkochte woningen"
Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,"Aantal verkochte won
ingen|Ontwikkeling
t.o.v. voorgaande
periode"
Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,"Aantal verkochte won
ingen|Ontwikkeling
t.o.v. een jaar
eerder"
Gemiddelde verkoopprijs,"Gemiddelde
verkoopprijs"
Totale waarde verkoopprijzen,"Totale waarde
verkoopprijzen"
CPI | 2015 = 100,CPI | 2015 = 100
CPI afgeleid | 2015 = 100,"CPI afgeleid | 2015
= 100"
Jaarmutatie CPI | %,Jaarmutatie CPI | %
Jaarmutatie CPI afgeleid | %,"Jaarmutatie CPI
afgeleid | %"
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,"Opbouw bbp vanuit de
finale bestedingen|B
eschikbaar voor
finale
bestedingen|Totaal"
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product,"Opbouw bbp vanuit de
finale bestedingen|B
eschikbaar voor
finale
bestedingen|Bruto
binnenlands product"
